NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN

Site ID: CA45 Date Range: 1/1/1979 to 10/1/2017 Report Date: 7/30/2017 2:32:58 PM
"SiteID","Date On","Date Off","ldCa","Ca","ldMg","Mg","ldK","K","ldNa","Na","ldNH4","NH4","ldNO3","NO3","ldCl","Cl","ldSO4","SO4","pH Lab","pH Field","pH FV","Lab Cond","Field Cond","FV Cond","Svol","RG Ppt","Sub Ppt","Lab Type","Valcode","Invalcode","Notes"
"CA45","03/25/1980","04/01/1980"," ",0.290," ",0.091," ",0.044," ",0.179,"<",0.070," ",0.910," ",0.870,"<",0.360,5.92,-9.00,"-",5.6,-9.0,"-",24.9,0.51,0.510,"wa","wa","            ",""
"CA45","04/01/1980","04/08/1980"," ",0.110," ",0.083," ",0.024," ",0.562,"<",0.020," ",0.160," ",0.860," ",0.500,5.83,5.10,"i",6.0,6.2,"i",2609.1,37.08,37.080,"w ","w ","            ",""
"CA45","04/08/1980","04/15/1980"," ",0.150," ",0.095," ",0.859," ",2.287,"<",0.020," ",0.870," ",1.210," ",3.000,6.16,-9.00,"-",15.1,-9.0,"-",131.4,2.29,2.290,"w ","w ","            ",""
"CA45","04/15/1980","04/22/1980"," ",0.040," ",0.013," ",0.012," ",0.066,"<",0.020," ",0.100," ",0.160,"<",0.100,5.73,5.70,"i",2.5,2.1,"i",1164.0,17.02,17.020,"w ","w ","            ",""
"CA45","04/22/1980","04/29/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.2,-9.00,0.002,"t ","t ","            ",""
"CA45","04/29/1980","05/06/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","05/06/1980","05/13/1980"," ",0.260," ",0.086," ",0.039," ",0.328," ",0.240," ",0.770," ",0.330," ",1.100,6.12,4.70,"i",7.8,7.2,"i",773.4,10.92,10.920,"w ","w ","            ",""
"CA45","05/13/1980","05/20/1980"," ",0.350," ",0.061," ",0.024," ",10.610,"<",0.020," ",1.520," ",1.650," ",11.260,6.22,-9.00,"-",59.7,-9.0,"-",109.5,2.54,2.540,"w ","w ","            ",""
"CA45","05/20/1980","05/27/1980"," ",0.200," ",0.154," ",0.067," ",1.064,"<",0.020," ",0.230," ",1.840," ",0.800,5.86,-9.00,"-",10.4,-9.0,"-",193.8,3.05,3.050,"w ","w ","            ",""
"CA45","05/27/1980","06/03/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/03/1980","06/10/1980"," ",0.040," ",0.009," ",0.009," ",0.280," ",0.040," ",0.310," ",0.150," ",0.630,5.49,5.10,"i",3.7,3.2,"i",473.8,7.87,7.870,"w ","w ","            ",""
"CA45","06/10/1980","06/17/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/17/1980","06/25/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/25/1980","07/01/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/01/1980","07/08/1980"," ",0.790," ",0.159," ",0.079," ",0.800," ",1.050," ",4.070," ",0.870," ",2.880,6.90,-9.00,"-",28.7,-9.0,"-",24.7,0.25,0.250,"wa","wa","            ",""
"CA45","07/08/1980","07/15/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/15/1980","07/22/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/22/1980","07/29/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/29/1980","08/05/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/05/1980","08/12/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/12/1980","08/19/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/19/1980","08/26/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/26/1980","09/02/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/02/1980","09/09/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/09/1980","09/16/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/16/1980","09/23/1980"," ",0.090," ",0.019," ",0.022," ",0.067," ",0.030," ",0.340," ",0.130," ",0.260,5.62,5.00,"i",3.3,2.8,"i",319.4,4.57,4.570,"w ","w ","            ",""
"CA45","09/23/1980","09/30/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","ns"
"CA45","09/30/1980","10/07/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/07/1980","10/14/1980"," ",0.070," ",0.054," ",0.025," ",0.417," ",0.060," ",0.410," ",0.740," ",0.670,5.14,4.80,"i",8.7,9.1,"i",1695.4,26.67,26.670,"w ","w ","            ",""
"CA45","10/14/1980","10/21/1980"," ",0.150," ",0.042," ",0.023," ",0.325,"<",0.020," ",0.070," ",0.570," ",0.400,5.88,5.30,"i",4.7,4.8,"i",398.1,5.08,5.080,"w ","w ","            ",""
"CA45","10/21/1980","10/28/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/28/1980","11/04/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","11/04/1980","11/11/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"i",-9.0,-9.0,"i",392.9,6.10,6.100,"t ","  ","v           ",""
"CA45","11/11/1980","11/18/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",4.5,0.25,0.250,"t ","  ","v           ",""
"CA45","11/18/1980","11/25/1980"," ",0.060," ",0.019," ",0.029," ",0.089," ",0.200," ",0.630," ",0.190," ",0.500,5.75,4.90,"i",5.0,5.0,"i",365.3,6.35,6.350,"w ","w ","            ",""
"CA45","11/25/1980","12/02/1980"," ",0.020," ",0.014," ",0.010," ",0.101," ",0.130," ",0.640," ",0.230," ",0.330,5.20,5.00,"i",5.4,4.1,"i",1944.0,29.21,29.210,"w ","w ","            ",""
"CA45","12/02/1980","12/09/1980"," ",0.050," ",0.013," ",0.004," ",0.109,"<",0.020," ",0.070," ",0.250,"<",0.100,5.70,5.10,"i",3.5,2.3,"i",9052.4,134.62,134.620,"w ","w ","            ",""
"CA45","12/09/1980","12/16/1980"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,7.34,-9.00,"-",42.1,-9.0,"-",8.5,0.00,0.000,"t ","d ","            ",""
"CA45","12/16/1980","12/23/1980"," ",0.040," ",0.007," ",0.003," ",0.022," ",0.030," ",0.750," ",0.120," ",0.260,5.05,4.50,"i",7.7,7.1,"i",1054.6,15.24,15.240,"w ","w ","            ",""
"CA45","12/23/1980","12/30/1980"," ",0.340," ",0.090," ",0.031," ",0.152," ",0.140," ",1.080," ",0.370," ",1.030,5.45,-9.00,"-",8.2,-9.0,"-",59.1,2.54,2.540,"w ","w ","            ",""
"CA45","12/30/1980","01/06/1981"," ",0.070," ",0.015," ",0.035," ",0.056," ",0.170," ",0.840," ",0.190," ",0.450,5.22,5.00,"i",7.1,9.9,"i",232.5,4.06,4.060,"w ","w ","            ",""
"CA45","01/06/1981","01/13/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,5.96,-9.00,"-",-9.0,-9.0,"-",2.9,0.00,0.000,"t ","d ","            ",""
"CA45","01/13/1981","01/20/1981"," ",0.020," ",0.024," ",0.011," ",0.176," ",0.100," ",0.420," ",0.380," ",0.410,5.37,4.70,"i",6.3,4.9,"i",1648.5,29.21,29.210,"w ","w ","            ",""
"CA45","01/20/1981","01/27/1981"," ",0.020," ",0.018," ",0.004," ",0.112," ",0.040," ",0.180," ",0.280,"<",0.100,5.61,5.00,"i",4.6,1.8,"i",9984.8,147.32,147.320,"w ","w ","            ",""
"CA45","01/27/1981","02/03/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"f",-9.0,-9.0,"f",2899.6,48.01,48.010,"w ","  ","x           ","ns"
"CA45","02/03/1981","02/10/1981"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",7.5,0.00,0.000,"t ","d ","            ","ns"
"CA45","02/10/1981","02/17/1981"," ",0.010," ",0.008," ",0.004," ",0.040," ",0.120," ",0.570," ",0.190," ",0.330,5.21,4.60,"i",8.1,4.8,"i",3602.1,53.34,53.340,"w ","w ","            ",""
"CA45","02/17/1981","02/24/1981"," ",0.090," ",0.140," ",0.651," ",0.557," ",1.320," ",0.160," ",1.010," ",0.500,7.01,6.30,"i",22.2,11.2,"i",746.3,10.16,10.160,"w ","w ","            ",""
"CA45","02/24/1981","03/03/1981"," ",0.070," ",0.057," ",0.020," ",0.412," ",0.090," ",0.230," ",0.780," ",0.270,5.89,5.20,"i",10.9,5.2,"i",679.6,10.16,10.160,"w ","w ","            ",""
