NATIONAL ATMOSPHERIC DEPOSITION PROGRAM/NTN

Site ID: CA45 Date Range: 1/1/1979 to 10/1/2017 Report Date: 7/30/2017 2:32:58 PM
"SiteID","Date On","Date Off","ldCa","Ca","ldMg","Mg","ldK","K","ldNa","Na","ldNH4","NH4","ldNO3","NO3","ldCl","Cl","ldSO4","SO4","pH Lab","pH Field","pH FV","Lab Cond","Field Cond","FV Cond","Svol","RG Ppt","Sub Ppt","Lab Type","Valcode","Invalcode","Notes"
"CA45","11/15/1988","11/22/1988"," ",0.020," ",0.033," ",0.022," ",0.278," ",0.060," ",0.530," ",0.510," ",0.270,5.17,5.20,"p",5.9,6.9,"p",2204.1,33.27,33.270,"w ","w ","            ",""
"CA45","11/22/1988","11/29/1988"," ",0.010," ",0.023," ",0.009," ",0.212,"<",0.020,"<",0.030," ",0.390," ",0.170,5.32,5.30,"p",4.0,4.6,"p",3639.4,55.63,55.630,"w ","w ","            ",""
"CA45","11/29/1988","12/06/1988"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,6.06,-9.00,"-",10.3,-9.0,"-",7.8,0.00,0.000,"t ","d ","            ",""
"CA45","12/06/1988","12/13/1988"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.3,0.00,0.000,"t ","d ","            ",""
"CA45","12/13/1988","12/20/1988"," ",0.040," ",0.032," ",0.014," ",0.302," ",0.060," ",0.410," ",0.480," ",0.370,5.38,5.10,"p",5.1,6.7,"p",512.4,8.13,8.130,"w ","w ","            ",""
"CA45","12/20/1988","12/27/1988"," ",0.020," ",0.050," ",0.011," ",0.441,"<",0.020," ",0.310," ",0.860," ",0.280,5.30,5.20,"p",5.8,6.5,"p",4484.3,68.07,68.070,"w ","w ","            ",""
"CA45","12/27/1988","01/03/1989"," ",0.090," ",0.111," ",0.199," ",1.240,"<",0.020," ",0.280," ",1.830," ",0.860,5.51,4.75,"p",12.5,16.9,"p",627.0,9.91,9.910,"w ","w ","            ",""
"CA45","01/03/1989","01/10/1989"," ",0.060," ",0.198," ",0.135," ",0.162,"<",0.020," ",0.160," ",0.270," ",0.220,5.86,5.00,"p",4.2,4.8,"p",-9.0,27.18,27.180,"w ","w ","            ",""
"CA45","01/10/1989","01/17/1989"," ",0.040," ",0.030,"<",0.003," ",0.192," ",0.050," ",0.350," ",0.310," ",0.310,6.24,5.10,"p",4.7,5.8,"p",136.1,1.78,1.780,"w ","w ","            ",""
"CA45","01/17/1989","01/24/1989"," ",0.010," ",0.003," ",0.008," ",0.017," ",0.160," ",0.390," ",0.040," ",0.110,6.08,5.10,"p",2.9,3.3,"p",728.7,10.92,10.920,"w ","w ","            ",""
"CA45","01/24/1989","01/31/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",3.1,0.00,0.000,"t ","d ","            ",""
"CA45","01/31/1989","02/07/1989"," ",0.040," ",0.073," ",0.027," ",0.610," ",0.080," ",0.240," ",1.160," ",0.420,5.32,5.20,"p",7.6,8.5,"p",384.0,-9.00,5.656,"w ","w ","            ",""
"CA45","02/07/1989","02/14/1989"," ",0.040," ",0.055," ",0.022," ",0.437," ",0.220," ",0.920," ",0.790," ",0.670,5.20,4.85,"p",8.7,11.0,"p",481.0,7.11,7.110,"w ","w ","            ",""
"CA45","02/14/1989","02/21/1989"," ",0.040," ",0.009,"<",0.003," ",0.182," ",0.140," ",0.690," ",0.080," ",0.180,5.87,4.60,"f",3.7,7.5,"f",138.1,2.03,2.030,"w ","w ","            ",""
"CA45","02/21/1989","02/28/1989"," ",0.030," ",0.011," ",0.023," ",0.085," ",0.090," ",0.600," ",0.150," ",0.290,5.95,4.90,"p",3.7,5.6,"p",427.2,6.35,6.350,"w ","w ","            ",""
"CA45","02/28/1989","03/07/1989","<",0.010," ",0.003,"<",0.003," ",0.026,"<",0.020," ",0.090," ",0.040," ",0.120,5.75,5.35,"p",2.0,2.5,"p",4039.5,60.45,60.450,"w ","w ","            ",""
"CA45","03/07/1989","03/14/1989"," ",0.050," ",0.012," ",0.004," ",0.079,"<",0.020," ",0.190," ",0.130," ",0.230,5.28,5.25,"p",3.0,3.5,"p",5947.7,87.63,87.630,"w ","w ","            ",""
"CA45","03/14/1989","03/21/1989"," ",0.020," ",0.019,"<",0.003," ",0.159,"<",0.020," ",0.130," ",0.290," ",0.140,5.50,5.25,"p",2.8,3.6,"p",5320.4,78.74,78.740,"w ","w ","            ",""
"CA45","03/21/1989","03/28/1989"," ",0.020," ",0.007," ",0.004," ",0.039,"<",0.020," ",0.150," ",0.070," ",0.110,5.60,5.30,"p",1.8,2.6,"p",2962.2,45.21,45.210,"w ","w ","            ",""
"CA45","03/28/1989","04/04/1989"," ",0.050," ",0.022," ",0.013," ",0.237,"<",0.020," ",0.230," ",0.250," ",0.310,6.40,4.90,"p",5.4,6.7,"p",325.3,5.08,5.080,"w ","w ","            ",""
"CA45","04/04/1989","04/11/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.3,0.00,0.000,"t ","d ","            ",""
"CA45","04/11/1989","04/18/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.0,0.00,0.000,"t ","d ","            ",""
"CA45","04/18/1989","04/25/1989"," ",0.060," ",0.033," ",0.026," ",0.217," ",0.150," ",0.340," ",0.340," ",0.400,6.13,5.10,"p",4.5,6.2,"p",967.0,13.97,13.970,"w ","w ","            ",""
"CA45","04/25/1989","05/02/1989"," ",0.100," ",0.024,"<",0.003," ",0.180," ",0.080," ",0.490," ",0.200," ",0.490,6.22,4.60,"p",5.6,12.5,"p",173.1,2.54,2.540,"w ","w ","            ",""
"CA45","05/02/1989","05/09/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","ns"
"CA45","05/09/1989","05/16/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",51.6,1.27,1.270,"wa","  ","c           ","ns"
"CA45","05/16/1989","05/23/1989"," ",0.030," ",0.017," ",0.016," ",0.205," ",0.110," ",0.130," ",0.250," ",0.290,6.14,4.75,"p",3.2,8.3,"p",390.9,6.10,6.100,"w ","w ","            ",""
"CA45","05/23/1989","05/30/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","05/30/1989","06/06/1989"," ",0.130," ",0.042," ",0.045," ",0.245," ",0.210," ",0.990," ",0.270," ",0.840,5.83,4.45,"p",7.7,17.0,"p",633.1,9.14,9.140,"w ","w ","            ",""
"CA45","06/06/1989","06/13/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/13/1989","06/20/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/20/1989","06/27/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/27/1989","07/04/1989"," ",0.010," ",0.010," ",0.012," ",0.213," ",0.040," ",0.310," ",0.180," ",0.380,6.19,4.95,"p",3.9,5.7,"p",346.1,5.59,5.590,"w ","w ","            ",""
"CA45","07/04/1989","07/11/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/11/1989","07/17/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/17/1989","07/25/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","ns"
"CA45","07/25/1989","08/01/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/01/1989","08/08/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/08/1989","08/15/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/15/1989","08/22/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/22/1989","08/29/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/29/1989","09/05/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/05/1989","09/12/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/12/1989","09/19/1989"," ",0.040," ",0.012," ",0.012," ",0.062," ",0.120," ",0.500," ",0.130," ",0.380,5.25,4.85,"p",4.9,6.9,"p",3008.0,45.72,45.720,"w ","w ","            ",""
"CA45","09/19/1989","09/26/1989"," ",0.070," ",0.021," ",0.009," ",0.094," ",0.070," ",0.540," ",0.240," ",0.650,6.34,4.75,"p",8.6,9.0,"p",148.0,2.03,2.030,"w ","w ","            ",""
"CA45","09/26/1989","10/03/1989"," ",0.030," ",0.011," ",0.016," ",0.041," ",0.500," ",0.850," ",0.070," ",0.490,6.61,5.55,"p",7.5,5.4,"p",1307.6,19.56,19.560,"w ","w ","            ",""
"CA45","10/03/1989","10/10/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/10/1989","10/17/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/17/1989","10/24/1989"," ",0.020," ",0.043," ",0.021," ",0.370," ",0.090," ",0.230," ",0.610," ",0.340,5.48,5.25,"p",5.2,5.8,"p",8368.6,123.95,123.950,"w ","w ","            ",""
"CA45","10/24/1989","10/31/1989"," ",0.030," ",0.041," ",0.017," ",0.391,"<",0.020," ",0.180," ",0.600," ",0.320,6.14,5.10,"p",4.9,7.2,"p",259.3,4.06,4.060,"w ","w ","            ",""
"CA45","10/31/1989","11/07/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.2,0.00,0.000,"t ","d ","            ",""
"CA45","11/07/1989","11/14/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","11/14/1989","11/21/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.3,0.00,0.000,"t ","d ","            ",""
"CA45","11/21/1989","11/28/1989"," ",0.020," ",0.015," ",0.006," ",0.108," ",0.130," ",0.140," ",0.200," ",0.090,5.55,5.20,"p",2.5,3.0,"p",2853.9,43.94,43.940,"w ","w ","            ",""
"CA45","11/28/1989","12/05/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",2.5,0.00,0.000,"t ","d ","            ",""
"CA45","12/05/1989","12/12/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","12/12/1989","12/19/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.4,0.00,0.000,"t ","d ","            ",""
"CA45","12/19/1989","12/26/1989"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.7,0.00,0.000,"t ","d ","            ",""
"CA45","12/26/1989","01/02/1990"," ",0.020," ",0.024," ",0.010," ",0.210," ",0.070," ",0.140," ",0.370," ",0.200,5.76,5.25,"p",3.4,4.7,"p",406.0,6.10,6.100,"w ","w ","            ",""
"CA45","01/02/1990","01/09/1990","<",0.010," ",0.005,"<",0.003," ",0.040," ",0.130," ",0.290," ",0.100," ",0.090,5.37,5.20,"p",2.7,3.4,"p",4294.0,65.28,65.280,"w ","w ","            ",""
"CA45","01/09/1990","01/16/1990"," ",0.010," ",0.018," ",0.003," ",0.171," ",0.090," ",0.160," ",0.330," ",0.140,5.52,5.40,"p",3.2,3.8,"p",3817.7,57.91,57.910,"w ","w ","            ",""
"CA45","01/16/1990","01/23/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",2.2,0.00,0.000,"t ","d ","            ",""
"CA45","01/23/1990","01/30/1990"," ",0.020," ",0.036," ",0.024," ",0.313," ",0.100," ",0.160," ",0.530," ",0.200,5.88,5.30,"p",4.1,5.6,"p",506.7,8.13,8.130,"w ","w ","            ",""
"CA45","01/30/1990","02/06/1990"," ",0.020," ",0.037," ",0.023," ",0.282,"<",0.020," ",0.100," ",0.520," ",0.170,5.87,5.25,"p",3.7,4.5,"p",2955.5,44.20,44.200,"w ","w ","            ",""
"CA45","02/06/1990","02/13/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",7.3,0.51,0.510,"t ","  ","v           ",""
"CA45","02/13/1990","02/20/1990"," ",0.030," ",0.035," ",0.012," ",0.299," ",0.030," ",0.100," ",0.520," ",0.150,5.54,5.20,"p",3.5,4.1,"p",2862.9,-9.00,42.169,"w ","w ","            ",""
"CA45","02/20/1990","02/27/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",3.3,-7.00,0.127,"t ","t ","            ",""
"CA45","02/27/1990","03/06/1990"," ",0.020," ",0.017," ",0.006," ",0.150," ",0.090," ",0.200," ",0.270," ",0.160,5.43,5.25,"p",3.2,4.1,"p",2086.3,31.75,31.750,"w ","w ","            ",""
"CA45","03/06/1990","03/13/1990"," ",0.040," ",0.076," ",0.025," ",0.628," ",0.050," ",0.170," ",1.130," ",0.510,5.38,5.00,"p",7.5,10.1,"p",631.5,10.16,10.160,"w ","w ","            ",""
"CA45","03/13/1990","03/20/1990","<",0.010," ",0.006," ",0.011," ",0.064," ",0.370," ",0.320," ",0.140," ",0.220,6.14,5.25,"p",3.8,4.6,"p",324.6,5.84,5.840,"w ","w ","            ",""
"CA45","03/20/1990","03/27/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","03/27/1990","04/03/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","04/03/1990","04/10/1990"," ",0.240," ",0.113," ",0.081," ",0.663," ",1.230," ",4.040," ",0.940," ",2.880,6.26,-9.00,"-",26.7,-9.0,"-",30.3,0.51,0.510,"wa","wa","            ",""
"CA45","04/10/1990","04/17/1990"," ",0.690," ",0.153," ",0.206," ",1.104," ",1.500," ",8.550," ",0.930," ",2.560,5.58,-9.00,"-",32.7,-9.0,"-",33.2,0.51,0.510,"wa","wa","            ",""
"CA45","04/17/1990","04/23/1990"," ",0.030," ",0.010," ",0.018," ",0.046," ",0.090," ",0.220," ",0.100," ",0.140,5.91,5.30,"p",2.2,3.1,"p",418.9,6.35,6.350,"w ","w ","            ",""
"CA45","04/23/1990","05/01/1990"," ",0.210," ",0.025,"<",0.025," ",0.093,"<",0.170," ",0.590," ",0.340," ",0.510,4.92,-9.00,"-",13.1,-9.0,"-",13.3,0.25,0.250,"wa","wa","            ",""
"CA45","05/01/1990","05/08/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","05/08/1990","05/15/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","05/15/1990","05/22/1990"," ",0.030," ",0.010," ",0.011," ",0.052," ",0.040," ",0.200," ",0.120," ",0.200,5.79,5.15,"p",2.4,4.0,"p",1441.3,20.32,20.320,"w ","w ","            ",""
"CA45","05/22/1990","05/29/1990","<",0.010," ",0.007," ",0.031," ",0.024,"<",0.020,"<",0.030," ",0.050," ",0.110,5.93,5.20,"p",2.6,2.4,"p",4044.7,62.74,62.740,"w ","w ","            ",""
"CA45","05/29/1990","06/04/1990"," ",0.090," ",0.115," ",0.043," ",0.908," ",0.140," ",0.300," ",1.650," ",0.750,6.57,4.90,"p",13.8,12.7,"p",572.9,9.14,9.140,"w ","w ","            ",""
"CA45","06/04/1990","06/12/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/12/1990","06/19/1990"," ",0.210," ",0.130," ",0.058," ",0.799," ",0.130," ",2.250," ",0.990," ",1.080,4.70,4.75,"p",17.7,17.6,"p",139.1,1.78,1.780,"w ","w ","            ",""
"CA45","06/19/1990","06/26/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","06/26/1990","07/03/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",2.8,-7.00,0.127,"t ","t ","            ",""
"CA45","07/03/1990","07/10/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/10/1990","07/17/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/17/1990","07/24/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/24/1990","07/31/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","07/31/1990","08/07/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/07/1990","08/14/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,-7.00,0.127,"da","t ","            ","na"
"CA45","08/14/1990","08/21/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","08/21/1990","08/28/1990"," ",0.270," ",0.278," ",0.111," ",2.080," ",0.590," ",1.480," ",3.680," ",3.610,5.12,-9.00,"-",28.7,-9.0,"-",52.6,0.51,0.510,"w ","w ","            ",""
"CA45","08/28/1990","09/04/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/04/1990","09/11/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/11/1990","09/18/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","09/18/1990","09/25/1990"," ",0.410," ",0.080," ",0.080," ",0.514," ",2.280," ",6.420," ",0.660," ",2.450,5.24,4.60,"p",26.0,28.9,"p",99.3,1.78,1.780,"w ","w ","            ",""
"CA45","09/25/1990","10/02/1990"," ",0.040," ",0.016," ",0.013," ",0.081," ",0.420," ",1.150," ",0.100," ",0.570,5.19,5.10,"p",6.9,7.0,"p",913.7,13.72,13.720,"w ","w ","            ",""
"CA45","10/02/1990","10/09/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/09/1990","10/16/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.0,0.00,0.000,"da","d ","            ","na"
"CA45","10/16/1990","10/23/1990","<",0.010," ",0.007," ",0.007," ",0.068,"<",0.020," ",0.260," ",0.090," ",0.110,5.37,5.20,"p",2.7,3.4,"p",435.7,6.35,6.350,"w ","w ","            ",""
"CA45","10/23/1990","10/30/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",0.3,0.00,0.000,"t ","d ","            ",""
"CA45","10/30/1990","11/06/1990"," ",0.010," ",0.016," ",0.008," ",0.134," ",0.040," ",0.100," ",0.260," ",0.150,5.58,5.30,"p",2.7,3.8,"p",1709.1,25.65,25.650,"w ","w ","            ",""
"CA45","11/06/1990","11/13/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.7,0.00,0.000,"t ","d ","            ",""
"CA45","11/13/1990","11/20/1990"," ",0.010," ",0.004," ",0.017," ",0.104," ",0.040," ",0.340," ",0.140," ",0.130,5.90,5.20,"p",2.7,3.8,"p",194.1,3.30,3.300,"w ","w ","            ",""
"CA45","11/20/1990","11/27/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",-9.0,8.89,8.890,"w ","  ","f           ","ns"
"CA45","11/27/1990","12/04/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",1.3,0.00,0.000,"t ","d ","            ",""
"CA45","12/04/1990","12/11/1990"," ",0.010," ",0.004," ",0.010," ",0.027," ",0.520," ",0.760," ",0.110," ",0.420,6.02,5.60,"p",4.9,5.8,"p",954.6,14.73,14.730,"w ","w ","            ",""
"CA45","12/11/1990","12/18/1990"," ",0.010," ",0.009," ",0.004," ",0.081," ",0.080," ",0.420," ",0.150," ",0.140,5.23,5.25,"p",3.6,4.1,"p",1378.0,-9.00,20.297,"w ","w ","            ",""
"CA45","12/18/1990","12/27/1990"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",452.1,-9.00,6.659,"w ","  ","e           ",""
"CA45","12/27/1990","01/02/1991"," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,-9.00,-9.00,"-",-9.0,-9.0,"-",3.7,0.00,0.000,"t ","d ","            ",""
"CA45","01/02/1991","01/07/1991"," ",0.020," ",0.011," ",0.008," ",0.067," ",0.430," ",1.390," ",0.090," ",0.300,5.29,5.05,"p",6.3,8.5,"p",653.6,10.16,10.160,"w ","w ","            ",""
"CA45","01/07/1991","01/15/1991"," ",0.050," ",0.027," ",0.021," ",0.316," ",0.720," ",2.370," ",0.480," ",0.550,5.37,4.95,"p",10.5,13.2,"p",157.3,3.05,3.050,"w ","w ","            ",""
